Status,Intra-ASEAN,Extra-ASEAN,World,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007Export,22292114745.00,91808776006.00,114100890751.00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007Import,23792133688.00,50681296430.00,74473430118.00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008Export,27170819686.00,109849604716.00,137020424402.00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008Import,40991662181.00,88205644043.00,129197306224.00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009Export,24623898564.00,91886093217.00,116509991781.00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009Import,27742398273.00,69086764303.00,96829162576.00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010Export,33347510079.00,124431593391.00,157779103470.00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010Import,47124718198.00,88538565850.00,135663284048.00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011Export,42098872453.00,161397753955.00,203496626408.00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011Import,51300184712.00,126135371024.00,177435555736.00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012Export,41831097108.00,148200748124.00,190031845232.00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012Import,53823355864.00,137866115663.00,191689471527.00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013Export,40629958093.00,141921840604.00,182551798697.00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013Import,54030994802.00,132597675078.00,186628669880.00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014Export,39668109515.00,136311877473.00,175979986988.00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014Import,50903135935.00,127275680670.00,178178816605.00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015Export,33572259230.00,116709997665.35,150282256895.35,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015Import,30032577328.00,112662226895.00,142694804223.00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016Export,33830310393.64,111355900852.78,145186211246.43,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016Import,34817276950.00,100835539551.00,135652816501.00,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
